anime_id,name,genre,type,episodes,rating,members,episode_bins
32281,kiminonawa,"drama, romance, school, supernatural",movie,1.0,9.37,200630,1
5114,fullmetalalchemistbrotherhood,"action, adventure, drama, fantasy, magic, military, shounen",tv,64.0,9.26,793665,51-100
28977,gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,51.0,9.25,114262,51-100
9253,steinsgate,"sci-fi, thriller",tv,24.0,9.17,673572,13-24
9969,gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,51.0,9.16,151266,51-100
32935,haikyuukarasunokoukouvsshiratorizawagakuenkoukou,"comedy, drama, school, shounen, sports",tv,10.0,9.15,93351,2-12
11061,hunterxhunter2011,"action, adventure, shounen, super power",tv,148.0,9.13,425855,100+
820,gingaeiyuudensetsu,"drama, military, sci-fi, space",ova,110.0,9.11,80679,100+
15335,gintamamoviekanketsuhenyorozuyayoeiennare,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,1.0,9.1,72534,1
15417,gintamaenchousen,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,13.0,9.11,81109,13-24
4181,clannadafterstory,"drama, fantasy, romance, slice of life, supernatural",tv,24.0,9.06,456749,13-24
28851,koenokatachi,"drama, school, shounen",movie,1.0,9.05,102733,1
918,gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,201.0,9.04,336376,100+
2904,codegeasshangyakunolelouchr2,"action, drama, mecha, military, sci-fi, super power",tv,25.0,8.98,572888,25-50
28891,haikyuusecondseason,"comedy, drama, school, shounen, sports",tv,25.0,8.93,179342,25-50
199,sentochihironokamikakushi,"adventure, drama, supernatural",movie,1.0,8.93,466254,1
23273,shigatsuwakiminouso,"drama, music, romance, school, shounen",tv,22.0,8.92,416397,13-24
24701,mushishizokushou2ndseason,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,10.0,8.88,75894,2-12
12355,ookamikodomonoametoyuki,"fantasy, slice of life",movie,1.0,8.84,226193,1
1575,codegeasshangyakunolelouch,"action, mecha, military, school, sci-fi, super power",tv,25.0,8.83,715151,25-50
263,hajimenoippo,"comedy, drama, shounen, sports",tv,75.0,8.83,157670,51-100
44,rurounikenshinmeijikenkakuromantantsuiokuhen,"action, drama, historical, martial arts, romance, samurai",ova,4.0,8.83,129307,2-12
1,cowboybebop,"action, adventure, comedy, drama, sci-fi, space",tv,26.0,8.82,486824,25-50
30276,onepunchman,"action, comedy, parody, sci-fi, seinen, super power, supernatural",tv,12.0,8.82,552458,2-12
164,mononokehime,"action, adventure, fantasy",movie,1.0,8.81,339556,1
7311,suzumiyaharuhinoshoushitsu,"comedy, mystery, romance, school, sci-fi, supernatural",movie,1.0,8.81,240297,1
17074,monogatariseriessecondseason,"comedy, mystery, romance, supernatural, vampire",tv,26.0,8.8,205959,25-50
21939,mushishizokushou,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,10.0,8.8,101351,2-12
457,mushishi,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,26.0,8.78,300030,25-50
2001,tengentoppagurrenlagann,"action, adventure, comedy, mecha, sci-fi",tv,27.0,8.78,562962,25-50
245,greatteacheronizuka,"comedy, drama, school, shounen, slice of life",tv,43.0,8.77,268487,25-50
32983,natsumeyuujinchougo,"drama, fantasy, shoujo, slice of life, supernatural",tv,13.0,8.76,38865,13-24
5258,hajimenoipponewchallenger,"comedy, drama, shounen, sports",tv,26.0,8.75,88995,25-50
